Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History,Elevation_m,Slope_deg,Rainfall_2023_mm,Rainfall_Dates_2023
5286,HP/MAN/53A15/2015/185,Mandi,,31.409207,76.957634,Debris            Slide,,,1575.7559814453125,31.556545997085543,,
5287,HP/MAN/53A15/2015/186,Mandi,,31.40941,76.957562,Debris            Slide,,,1572.922607421875,34.1208989844191,,
5288,HP/BIL/53A07/2018/14,Bilaspur,Near Bhakra dam,31.409432,76.43598,Rock cum debris   Slide,,,545.0887451171875,41.07889849716295,,
5289,HP/BIL/53A11/2018/11,Bilaspur,,31.40978,76.67352,Rock              Slide,,,573.7863159179688,34.94496484310561,,
5290,HP/BIL/53A11/2018/37,Bilaspur,"Near Bridge, Sunhani",31.40978,76.67352,Rock              Slide,,,573.7863159179688,34.94496484310561,,
5291,HP/BIL/53A07/2018/7,Bilaspur,Nangal-Naina Devi road,31.409952,76.418826,Debris            Slide,,,394.0849914550781,37.881685699271195,,
5292,HP/SHI/53E15/2016/24,Shimla,Near Munish Link road,31.41,77.7632,Debris            Slide,,,2023.4000244140625,33.487722297376756,,
5293,HP/BIL/53A07/2018/22,Bilaspur,Nangal-Naina Devi road,31.410712,76.444025,Rock              Slide,,,514.3859252929688,25.25017783323514,,
5294,HP/SHI/53E15/2016/55,Shimla,Pat - Punar track,31.4109,77.816,Debris            Slide,,,2357.44189453125,22.44935987016883,,
5295,HP/SHI/53E15/2016/25,Shimla,Near Munish Link road,31.411,77.7642,Debris            Slide,,,2047.21435546875,34.891644739269424,,
5296,HP/SHI/53E11/2016/109,Shimla,"Kalna, NH-05",31.411444,77.626,Debris            Slide,,,918.432373046875,38.31028026369618,,
5297,HP/MAN/53E03/2015/271,Mandi,,31.411472,77.203778,Rock,Slide,2015,1557.2525634765625,12.496093712035696,,
5298,HP/BIL/53A07/2018/8,Bilaspur,Chukath,31.412485,76.427845,Rock              Slide,,,525.8086547851562,44.838776755298554,,
5299,HP/SHI/53E15/2016/125,Shimla,Near Munish Link road,31.4125,77.7637,Debris            Slide,,,2188.69482421875,52.010716098131745,,
5300,HP/BIL/53A15/2015/32,Mandi,,31.412708,76.871778,Debris            Slide,,,515.84619140625,21.33679929164952,,
5301,HP/BIL/53A07/2018/1,Bilaspur,Nangal-Naina Devi road,31.412841,76.412893,Debris            Slide,,,415.5845642089844,29.13898483763933,,
5302,HP/MAN/53E03/2015/261,Mandi,,31.413278,77.109194,Debris            Slide,,,2013.3258056640625,32.704689206850226,,
5303,HP/SHI/53E15/2016/128,Shimla,Near Munish Link road,31.4133,77.766,Rock              Slide,,,2105.216064453125,41.26161023604317,,
5304,HP/BIL/53A15/2015/109,Bilaspur,,31.413389,76.789083,Debris,Slide,2015,697.300537109375,1.130893899306619,,
5305,HP/MAN/53E03/2015/259,Mandi,,31.413472,77.109278,Rock              Slide,,,2013.3258056640625,32.70474287045228,,
5306,HP/BIL/53A15/2015/280,Bilaspur,,31.413667,76.793528,Rock,Fall,2015,610.2059936523438,31.569670354861582,,
5307,HP/BIL/53A15/2015/281,Bilaspur,,31.413833,76.793722,Rock,Fall,2015,615.500732421875,35.26564270983849,,
5308,HP/SHI/53E11/2016/110,Shimla,"Shatal, MDR-28",31.414361,77.623056,Rock              Creep,,,928.5623168945312,36.00609279365436,,
