Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History
8089,HP/CHA/52D02/2020/53,Chamba,Dug,32.61,76.02,Debris          Slide,NA,
8090,HP/CHA/52D02/2020/58,Chamba,Charor,32.61,76.04,Debris          Slide,NA,
8091,HP/CHA/52D02/2020/63,Chamba,Chimra,32.61,76.04,Rock            Slide,NA,
8092,HP/CHA/52D02/2020/69,Chamba,Chimra,32.61,76.04,Rock            Slide,NA,
8093,HP/CHA/52D02/2020/96,Chamba,Protha,32.61,76.24,Debris          Slide,NA,
8094,HP/CHA/52D02/2020/110,Chamba,Chamri,32.61,76.03,Rock            Slide,NA,
8095,HP/CHA/52D02/2020/111,Chamba,Chamri,32.61,76.03,Rock            Slide,NA,
8096,HP/CHA/52D02/2020/113,Chamba,Chamri,32.61,76.03,Rock            Slide,NA,
8097,HP/CHA/52D06/2020/16,Chamba,Rajendu village,32.61,76.26,Rock            Slide,NA,
8098,HP/CHA/52D06/2020/21,Chamba,Near Sara village,32.61,76.27,Rock            Slide,NA,
8099,HP/CHA/52D06/2020/33,Chamba,Kurtha village,32.61,76.26,Rock            Slide,NA,
8100,HP/CHA/43P14/2017/9,Chamba,,32.612064,75.944035,Debris          Slide,NA,
8101,HP/CHA/52D02/2020/2,Chamba,Taru,32.62,76,Debris          Slide,NA,
8102,HP/CHA/52D02/2020/13,Chamba,Taru,32.62,76,Rock            Slide,NA,
8103,HP/CHA/52D02/2020/23,Chamba,Taru,32.62,76,Debris          Slide,NA,
8104,HP/CHA/52D02/2020/24,Chamba,North of Taru,32.62,76,Rock            Slide,NA,
8105,HP/CHA/52D02/2020/32,Chamba,Taru,32.62,76,Debris          Slide,NA,
8106,HP/CHA/52D02/2020/33,Chamba,Taru,32.62,76,Rock            Slide,NA,
8107,HP/CHA/52D02/2020/61,Chamba,North of Taru,32.62,76,Rock            Slide,NA,
8108,HP/CHA/52D02/2020/62,Chamba,Bairoh,32.62,76.18,Debris          Slide,NA,
8109,HP/CHA/52D02/2020/67,Chamba,Bairoh,32.62,76.18,Debris          Slide,NA,
8110,HP/CHA/52D02/2020/109,Chamba,Thari,32.62,76.05,Rock            Slide,NA,
8111,HP/CHA/52D06/2020/1,Chamba,Khundi Mata lake,32.62,76.4,Rock            Slide,NA,
8112,HP/CHA/52D06/2020/24,Chamba,Sara village,32.62,76.28,Debris          Slide,NA,
8113,HP/CHA/52D02/2020/100,Chamba,Pukhrolu,32.63,76.18,Debris          Slide,NA,
8114,HP/CHA/52D02/2020/138,Chamba,"Sonthli,SH-33",32.63,76.08,Rock            Slide,NA,
8115,HP/CHA/52D06/2020/29,Chamba,Right bank of Khad Nala,32.63,76.39,Rock            Slide,NA,
8116,HP/CHA/43P14/2017/60,Chamba,,32.639396,75.956317,Rock            Slide,NA,
8117,HP/CHA/52D02/2020/4,Chamba,"Pukhri,SH-33",32.64,76.08,Rock            Slide,NA,
8118,HP/CHA/52D02/2020/5,Chamba,"Pukhri,SH-33",32.64,76.09,Rock            Slide,NA,
8119,HP/CHA/52D02/2020/68,Chamba,Sheri,32.64,76.11,Debris          Slide,NA,
8120,HP/CHA/52D02/2020/70,Chamba,Sheri,32.64,76.12,Debris          Slide,NA,
8121,HP/CHA/52D02/2020/116,Chamba,"Pukhri slide Pukhri,SH-33",32.64,76.08,Debris          Slide,NA,
