State,District,Latitude,Longitude,slope_deg,rainfall_mm,soil_moisture_mm,label
Assam,Kamrup (Metro),26.1755,91.76175,0.51,18.51393443,0.474284495,1
Assam,Kamrup (Metro),26.19038889,91.80994444,4.47,18.51393443,0.474284495,1
Assam,Kamrup (Metro),26.18866667,91.76694444,1.34,18.6204918,0.474885587,1
Assam,West Karbi Anglong,25.91286,92.49797,4.62,15.54262295,0.49228347,1
Assam,Kamrup (Metro),26.19622222,91.76336111,2.31,18.6204918,0.474885587,1
Assam,Dima Hasao,25.15736111,93.01608333,0.93,10.10081967,0.476209699,1
Assam,Dima Hasao,25.23880556,93.03219444,8.18,10.10081967,0.476209699,1
Assam,Dima Hasao,25.19669444,93.01858333,0.87,10.10081967,0.476209699,1
Assam,Dima Hasao,25.18844444,93.01966667,5.13,10.10081967,0.476209699,1
Assam,Dima Hasao,25.20738889,93.12277778,7.02,10.04508197,0.478105533,1
Assam,Dima Hasao,25.17597222,93.02016667,3.29,10.10081967,0.476209699,1
Assam,Dima Hasao,25.17505556,93.02041667,3.6,10.10081967,0.476209699,1
Assam,Dima Hasao,25.17188889,93.02061111,4.78,10.10081967,0.476209699,1
Assam,Dima Hasao,25.16563889,93.02544444,2.93,10.10081967,0.476209699,1
Assam,Dima Hasao,25.417333,93.129083,5.8,11.47213115,0.47256694,1
Assam,Dima Hasao,25.42,93.002,0.77,8.796721311,0.46607138,1
Assam,Dima Hasao,25.16344444,93.02316667,3.6,10.10081967,0.476209699,1
Assam,Dima Hasao,25.15069444,93.02583333,7.98,10.10081967,0.476209699,1
Assam,Dima Hasao,25.14586111,93.02419444,6.91,10.10081967,0.443344604,1
Assam,Dima Hasao,25.14041667,93.02038889,11.38,10.10081967,0.443344604,1
Assam,Dima Hasao,25.13961111,93.01955556,11.43,10.10081967,0.443344604,1
Assam,Kamrup (Metro),26.150124,91.727915,4.11,16.41393443,0.472415984,1
Assam,Dima Hasao,25.18452778,93.12563889,2.57,8.201639344,0.477033128,1
Assam,Dima Hasao,25.143408,93.02995,4.93,9.862295082,0.47505362,1
Assam,Dima Hasao,25.14879,93.031636,3.34,9.862295082,0.47505362,1
Assam,Dima Hasao,25.15144,93.0331,5.29,7.119672131,0.457205601,1
Assam,Dima Hasao,25.15669444,93.01766667,0.1,7.119672131,0.457205601,1
Assam,Dima Hasao,25.20552778,93.02013889,11.38,10.10081967,0.476209699,1
Assam,Dima Hasao,25.24597222,93.02827778,1.08,10.10081967,0.476209699,1
Assam,Dima Hasao,25.21494444,93.02161111,2.62,10.10081967,0.476209699,1
Assam,Dima Hasao,25.2185,93.01311111,4.11,10.10081967,0.476209699,1
Assam,Dima Hasao,25.21694444,93.01136111,6.05,10.10081967,0.476209699,1
Assam,Kamrup (Metro),26.19052,91.77499,3.34,17.73934426,0.476385246,1
Assam,Dima Hasao,25.15933333,93.017,0.21,10.10081967,0.476209699,1
Assam,Dima Hasao,25.23925,93.03152778,7.88,10.10081967,0.476209699,1
Assam,Dima Hasao,25.23297222,93.03325,8.63,10.10081967,0.476209699,1
Assam,Dima Hasao,25.15638889,93.01838889,3.03,10.10081967,0.476209699,1
Assam,Dima Hasao,25.164,93.04019444,7.47,10.10081967,0.476209699,1
Assam,Dima Hasao,25.10638889,92.86480556,3.65,11.78360656,0.471981216,1
Assam,Dima Hasao,25.10941667,92.88075,0.26,9.728688525,0.447262637,1
Assam,Dima Hasao,25.10988889,92.89316667,2.57,9.728688525,0.471981216,1
Assam,Dima Hasao,25.10877778,92.92033333,2.26,9.728688525,0.471981216,1
Assam,Dima Hasao,25.10897222,92.92886111,5.08,9.728688525,0.447262637,1
Assam,Dima Hasao,25.11011111,92.99877778,8.38,9.728688525,0.443344604,1
